frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
156,5.205,Torchere A,Medium-Flare,0.6431,moyenne,170,453,320,558,0.082,0.27,0.476,0.648
157,5.239,Torchere A,Medium-Flare,0.6009,moyenne,176,452,317,556,0.086,0.277,0.445,0.646
158,5.272,Torchere A,Medium-Flare,0.5631,moyenne,173,451,315,547,0.082,0.302,0.409,0.654
159,5.305,Torchere A,Medium-Flare,0.5431,moyenne,163,451,314,537,0.072,0.336,0.346,0.67
160,5.339,Torchere A,Medium-Flare,0.7018,moyenne,161,447,319,536,0.066,0.332,0.343,0.678
161,5.372,Torchere A,Medium-Flare,0.6759,moyenne,163,447,309,537,0.069,0.387,0.317,0.698
162,5.405,Torchere A,Medium-Flare,0.6952,moyenne,165,443,314,537,0.067,0.39,0.329,0.701
163,5.439,Torchere A,Medium-Flare,0.7098,moyenne,163,441,316,540,0.067,0.364,0.338,0.701
164,5.472,Torchere A,Medium-Flare,0.7666,moyenne,157,439,315,541,0.062,0.371,0.339,0.7
165,5.506,Torchere A,Medium-Flare,0.8391,moyenne,151,438,316,542,0.059,0.365,0.355,0.699
166,5.539,Torchere A,Medium-Flare,0.7665,moyenne,143,437,313,543,0.056,0.339,0.352,0.693
167,5.572,Torchere A,Medium-Flare,0.7928,moyenne,133,434,318,546,0.051,0.287,0.37,0.676
168,5.606,Torchere A,Medium-Flare,0.6423,moyenne,131,441,314,551,0.058,0.301,0.401,0.674
169,5.639,Torchere A,Medium-Flare,0.6783,moyenne,121,448,312,554,0.06,0.271,0.425,0.668
170,5.672,Torchere A,Medium-Flare,0.6667,moyenne,117,445,309,556,0.056,0.232,0.448,0.66
171,5.706,Torchere A,Medium-Flare,0.7873,moyenne,108,447,296,556,0.042,0.216,0.438,0.672
172,5.739,Torchere A,Medium-Flare,0.7582,moyenne,93,440,302,561,0.046,0.191,0.461,0.651
173,5.772,Torchere A,Medium-Flare,0.7889,moyenne,93,439,302,562,0.045,0.197,0.469,0.65
174,5.806,Torchere A,Medium-Flare,0.5965,moyenne,115,442,296,556,0.042,0.258,0.46,0.67
175,5.839,Torchere A,Medium-Flare,0.6066,moyenne,155,437,305,560,0.066,0.283,0.394,0.668
176,5.873,Torchere A,Medium-Flare,0.6433,moyenne,147,430,313,562,0.061,0.208,0.433,0.646
177,5.906,Torchere A,Medium-Flare,0.6938,moyenne,138,426,314,563,0.058,0.181,0.431,0.637
178,5.939,Torchere A,Medium-Flare,0.6760,moyenne,132,426,314,564,0.057,0.161,0.43,0.631
179,5.973,Torchere A,Medium-Flare,0.5020,moyenne,127,427,313,567,0.057,0.146,0.441,0.625
180,6.006,Torchere A,Medium-Flare,0.6099,moyenne,115,442,312,568,0.06,0.158,0.461,0.624
181,6.039,Torchere A,Medium-Flare,0.7496,moyenne,149,483,313,567,0.109,0.287,0.376,0.634
182,6.073,Torchere A,Medium-Flare,0.5520,mauvaise,151,481,315,568,0.107,0.274,0.347,0.63
182,6.073,Torchere A,Dark-Flare,0.4140,mauvaise,155,481,311,568,0.108,0.288,0.333,0.637
183,6.106,Torchere A,Medium-Flare,0.5062,moyenne,140,477,314,569,0.098,0.243,0.355,0.624
184,6.139,Torchere A,Medium-Flare,0.4523,mauvaise,127,476,316,567,0.088,0.232,0.355,0.625
184,6.139,Torchere A,Dark-Flare,0.4331,mauvaise,133,475,313,570,0.092,0.233,0.348,0.625
185,6.173,Torchere A,Dark-Flare,0.6673,mauvaise,136,474,315,567,0.091,0.256,0.333,0.625
185,6.173,Torchere A,Medium-Flare,0.4215,mauvaise,136,472,317,564,0.084,0.256,0.329,0.627
186,6.206,Torchere A,Dark-Flare,0.5826,mauvaise,136,474,312,568,0.09,0.264,0.328,0.629
187,6.240,Torchere A,Medium-Flare,0.4864,moyenne,136,477,315,571,0.097,0.266,0.34,0.623
188,6.273,Torchere A,Medium-Flare,0.6572,moyenne,138,475,316,566,0.089,0.271,0.321,0.63
189,6.306,Torchere A,Medium-Flare,0.7894,moyenne,132,479,314,566,0.091,0.249,0.355,0.632
190,6.340,Torchere A,Medium-Flare,0.7244,moyenne,129,474,315,568,0.087,0.223,0.394,0.625
191,6.373,Torchere A,Medium-Flare,0.7009,moyenne,119,474,313,576,0.092,0.198,0.436,0.618
