epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,9944.81,0.97879,0.65644,1.28986,0.90964,0.86987,0.9305,0.65291,1.04658,0.51895,1.2452,0.0190133,0.00633777,0.0190133,0.00633777,0.0190133,0.00633777,0.0190133,0.00633777
85,10061.9,0.97235,0.65558,1.28191,0.8781,0.89958,0.93046,0.65228,1.04133,0.52364,1.23719,0.0187867,0.00626223,0.0187867,0.00626223,0.0187867,0.00626223,0.0187867,0.00626223
86,10178.9,0.98167,0.6551,1.28723,0.91874,0.85183,0.92554,0.65131,1.04789,0.52913,1.24104,0.0185592,0.00618639,0.0185592,0.00618639,0.0185592,0.00618639,0.0185592,0.00618639
87,10295.9,0.97043,0.64146,1.27829,0.87913,0.89216,0.91603,0.6471,1.05799,0.53341,1.24631,0.0183308,0.00611026,0.0183308,0.00611026,0.0183308,0.00611026,0.0183308,0.00611026
88,10413.4,0.9648,0.63865,1.27433,0.91277,0.85892,0.92377,0.65485,1.04574,0.52359,1.23816,0.0181016,0.00603387,0.0181016,0.00603387,0.0181016,0.00603387,0.0181016,0.00603387
89,10530.2,0.96439,0.63619,1.27605,0.90764,0.86291,0.9238,0.64852,1.04532,0.52181,1.24329,0.0178717,0.00595722,0.0178717,0.00595722,0.0178717,0.00595722,0.0178717,0.00595722
90,10647.1,0.95649,0.6313,1.26683,0.88128,0.8942,0.92453,0.64999,1.04192,0.51932,1.23589,0.017641,0.00588035,0.017641,0.00588035,0.017641,0.00588035,0.017641,0.00588035
91,10763.7,0.95923,0.64174,1.28076,0.91688,0.85503,0.92436,0.65162,1.04444,0.52385,1.24342,0.0174098,0.00580326,0.0174098,0.00580326,0.0174098,0.00580326,0.0174098,0.00580326
92,10880.9,0.94031,0.6281,1.26132,0.90979,0.86211,0.91955,0.65195,1.04581,0.52859,1.24784,0.017178,0.00572598,0.017178,0.00572598,0.017178,0.00572598,0.017178,0.00572598
93,10997.5,0.95486,0.62974,1.26677,0.87814,0.8952,0.92428,0.6506,1.04152,0.51404,1.24006,0.0169456,0.00564853,0.0169456,0.00564853,0.0169456,0.00564853,0.0169456,0.00564853
94,11114.9,0.94929,0.63208,1.26656,0.90232,0.88055,0.92864,0.65195,1.03949,0.51597,1.24189,0.0167128,0.00557093,0.0167128,0.00557093,0.0167128,0.00557093,0.0167128,0.00557093
95,11231.9,0.94806,0.62641,1.26532,0.85341,0.91464,0.92397,0.64836,1.04722,0.51594,1.24199,0.0164796,0.00549319,0.0164796,0.00549319,0.0164796,0.00549319,0.0164796,0.00549319
96,11349.4,0.95336,0.6352,1.26825,0.90042,0.87096,0.91896,0.64946,1.03172,0.51728,1.23208,0.016246,0.00541533,0.016246,0.00541533,0.016246,0.00541533,0.016246,0.00541533
97,11466.2,0.94707,0.6213,1.26099,0.89381,0.86893,0.92224,0.6568,1.03441,0.51007,1.23582,0.0160121,0.00533738,0.0160121,0.00533738,0.0160121,0.00533738,0.0160121,0.00533738
98,11583.5,0.94431,0.63326,1.26189,0.87454,0.89151,0.93103,0.66741,1.02661,0.4982,1.22624,0.0157781,0.00525935,0.0157781,0.00525935,0.0157781,0.00525935,0.0157781,0.00525935
99,11699.6,0.93983,0.61545,1.25698,0.90244,0.88823,0.93091,0.66497,1.03104,0.49888,1.23124,0.0155438,0.00518127,0.0155438,0.00518127,0.0155438,0.00518127,0.0155438,0.00518127
