frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
94,3.136,Torchere B,Medium-Flare,0.4651,moyenne,666,119,690,171,0.0,0.013,0.938,0.589
95,3.170,Torchere C,Medium-Flare,0.4463,moyenne,67,62,88,100,0.014,0.076,0.857,0.639
95,3.170,Torchere A,Medium-Flare,0.7371,moyenne,383,89,422,121,0.0,0.314,0.591,0.719
96,3.203,Torchere C,Medium-Flare,0.4760,moyenne,66,65,89,100,0.014,0.068,0.853,0.637
96,3.203,Torchere A,Medium-Flare,0.7476,moyenne,382,89,422,122,0.0,0.315,0.602,0.719
97,3.237,Torchere C,Medium-Flare,0.4697,moyenne,66,65,88,100,0.014,0.071,0.851,0.641
97,3.237,Torchere A,Medium-Flare,0.7594,moyenne,382,88,422,121,0.0,0.317,0.61,0.715
98,3.270,Torchere C,Medium-Flare,0.4338,moyenne,65,64,89,99,0.01,0.07,0.846,0.641
98,3.270,Torchere A,Medium-Flare,0.7040,moyenne,384,88,423,121,0.0,0.308,0.606,0.719
99,3.303,Torchere C,Medium-Flare,0.4213,moyenne,68,66,87,99,0.003,0.091,0.802,0.66
99,3.303,Torchere A,Medium-Flare,0.7172,moyenne,385,88,423,121,0.0,0.331,0.582,0.725
99,3.303,Torchere B,Medium-Flare,0.4504,moyenne,665,119,690,170,0.0,0.036,0.885,0.596
100,3.337,Torchere A,Medium-Flare,0.7579,moyenne,384,88,423,122,0.0,0.305,0.594,0.718
100,3.337,Torchere B,Medium-Flare,0.5247,moyenne,663,120,690,171,0.0,0.004,0.959,0.585
101,3.370,Torchere C,Medium-Flare,0.4202,moyenne,68,68,89,99,0.015,0.083,0.833,0.641
101,3.370,Torchere A,Medium-Flare,0.7701,moyenne,383,87,423,122,0.0,0.299,0.629,0.711
101,3.370,Torchere B,Medium-Flare,0.6165,moyenne,663,122,691,166,0.0,0.003,0.96,0.581
102,3.403,Torchere A,Medium-Flare,0.7522,moyenne,383,89,424,122,0.0,0.316,0.605,0.722
103,3.437,Torchere A,Medium-Flare,0.7568,moyenne,382,87,425,122,0.0,0.298,0.626,0.709
104,3.470,Torchere C,Medium-Flare,0.4675,moyenne,65,60,89,100,0.013,0.058,0.883,0.624
104,3.470,Torchere A,Medium-Flare,0.7415,moyenne,382,87,425,121,0.0,0.306,0.611,0.716
105,3.504,Torchere C,Medium-Flare,0.5117,moyenne,65,62,90,100,0.013,0.063,0.875,0.626
105,3.504,Torchere A,Medium-Flare,0.7538,moyenne,380,87,425,121,0.0,0.318,0.61,0.718
106,3.537,Torchere C,Medium-Flare,0.4193,moyenne,65,62,90,100,0.012,0.062,0.88,0.628
106,3.537,Torchere A,Medium-Flare,0.7328,moyenne,378,87,423,121,0.0,0.326,0.59,0.723
106,3.537,Torchere B,Medium-Flare,0.4108,moyenne,664,128,692,170,0.0,0.05,0.887,0.596
107,3.570,Torchere A,Medium-Flare,0.7382,moyenne,378,88,423,121,0.0,0.321,0.591,0.723
108,3.604,Torchere C,Medium-Flare,0.4163,moyenne,68,70,90,100,0.017,0.094,0.826,0.639
108,3.604,Torchere A,Medium-Flare,0.7156,moyenne,377,87,423,121,0.0,0.302,0.632,0.714
109,3.637,Torchere C,Medium-Flare,0.5344,moyenne,69,71,90,101,0.024,0.095,0.813,0.634
109,3.637,Torchere A,Medium-Flare,0.7059,moyenne,376,88,421,120,0.0,0.314,0.601,0.719
