epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,7329.89,0.97986,0.65712,1.27886,0.88151,0.88436,0.91837,0.66878,0.98369,0.51244,1.19545,0.0228733,0.00762443,0.0228733,0.00762443,0.0228733,0.00762443,0.0228733,0.00762443
67,7439.42,0.95984,0.63967,1.2674,0.92137,0.84992,0.92237,0.67325,0.97894,0.51784,1.19996,0.0226724,0.00755748,0.0226724,0.00755748,0.0226724,0.00755748,0.0226724,0.00755748
68,7549.38,0.95401,0.64028,1.26312,0.90583,0.85928,0.92207,0.67181,0.99334,0.51828,1.20389,0.0224697,0.00748991,0.0224697,0.00748991,0.0224697,0.00748991,0.0224697,0.00748991
69,7658.96,0.96223,0.64635,1.26516,0.9188,0.84395,0.92972,0.6719,0.9993,0.51707,1.20765,0.0222652,0.00742172,0.0222652,0.00742172,0.0222652,0.00742172,0.0222652,0.00742172
70,7768.53,0.96311,0.64825,1.26623,0.89545,0.8828,0.9247,0.6745,0.9816,0.50632,1.19995,0.0220589,0.00735295,0.0220589,0.00735295,0.0220589,0.00735295,0.0220589,0.00735295
71,7877.91,0.95936,0.643,1.26293,0.91307,0.88012,0.93571,0.67655,0.99182,0.49808,1.20519,0.0218508,0.0072836,0.0218508,0.0072836,0.0218508,0.0072836,0.0218508,0.0072836
72,7987.06,0.95631,0.63492,1.25876,0.92373,0.86742,0.93054,0.67449,0.99632,0.5096,1.1988,0.0216411,0.0072137,0.0216411,0.0072137,0.0216411,0.0072137,0.0216411,0.0072137
73,8096.4,0.94344,0.63246,1.25163,0.9072,0.90087,0.9371,0.68766,0.97595,0.49402,1.19516,0.0214298,0.00714325,0.0214298,0.00714325,0.0214298,0.00714325,0.0214298,0.00714325
74,8206,0.94264,0.63053,1.24782,0.92178,0.86104,0.9353,0.68777,0.96571,0.48929,1.17785,0.0212169,0.00707228,0.0212169,0.00707228,0.0212169,0.00707228,0.0212169,0.00707228
75,8316,0.93351,0.62434,1.24905,0.91813,0.88602,0.9313,0.68376,0.97089,0.48952,1.19046,0.0210024,0.00700081,0.0210024,0.00700081,0.0210024,0.00700081,0.0210024,0.00700081
76,8426.31,0.94307,0.62063,1.24332,0.91665,0.87189,0.93736,0.68574,0.98186,0.49443,1.19339,0.0207866,0.00692885,0.0207866,0.00692885,0.0207866,0.00692885,0.0207866,0.00692885
77,8535.78,0.94297,0.62627,1.25097,0.90868,0.86673,0.9204,0.67965,0.95656,0.49308,1.17959,0.0205693,0.00685642,0.0205693,0.00685642,0.0205693,0.00685642,0.0205693,0.00685642
78,8645.89,0.93135,0.61169,1.24122,0.91927,0.88165,0.9312,0.68747,0.95784,0.49096,1.1726,0.0203506,0.00678354,0.0203506,0.00678354,0.0203506,0.00678354,0.0203506,0.00678354
79,8755.63,0.94668,0.62348,1.25127,0.92085,0.87071,0.92963,0.68272,0.96391,0.48599,1.18173,0.0201307,0.00671022,0.0201307,0.00671022,0.0201307,0.00671022,0.0201307,0.00671022
80,8864.74,0.93114,0.61993,1.2411,0.93048,0.88694,0.93461,0.68437,0.96753,0.49301,1.18186,0.0199095,0.00663649,0.0199095,0.00663649,0.0199095,0.00663649,0.0199095,0.00663649
81,8974.6,0.92745,0.62141,1.24093,0.91976,0.8774,0.93123,0.68217,0.96286,0.5006,1.18718,0.0196871,0.00656236,0.0196871,0.00656236,0.0196871,0.00656236,0.0196871,0.00656236
82,9084.39,0.93092,0.61644,1.24296,0.91243,0.87882,0.93142,0.68862,0.95461,0.49951,1.18063,0.0194636,0.00648785,0.0194636,0.00648785,0.0194636,0.00648785,0.0194636,0.00648785
83,9194.04,0.92318,0.61467,1.23781,0.91386,0.88263,0.92618,0.68495,0.9591,0.49673,1.18094,0.0192389,0.00641298,0.0192389,0.00641298,0.0192389,0.00641298,0.0192389,0.00641298
84,9303.72,0.92161,0.6051,1.23797,0.92569,0.89002,0.93256,0.68934,0.95441,0.48819,1.18067,0.0190133,0.00633777,0.0190133,0.00633777,0.0190133,0.00633777,0.0190133,0.00633777
85,9413.14,0.93475,0.62938,1.24556,0.92685,0.87779,0.932,0.69303,0.94833,0.4901,1.18045,0.0187867,0.00626223,0.0187867,0.00626223,0.0187867,0.00626223,0.0187867,0.00626223
86,9523.66,0.91613,0.60773,1.23684,0.91564,0.88732,0.93134,0.68585,0.96917,0.48104,1.18594,0.0185592,0.00618639,0.0185592,0.00618639,0.0185592,0.00618639,0.0185592,0.00618639
87,9633.39,0.90514,0.59048,1.22066,0.9042,0.89327,0.93493,0.6898,0.96091,0.48447,1.18195,0.0183308,0.00611026,0.0183308,0.00611026,0.0183308,0.00611026,0.0183308,0.00611026
88,9742.96,0.91916,0.60882,1.24186,0.91384,0.89006,0.93296,0.69203,0.94968,0.47826,1.17914,0.0181016,0.00603387,0.0181016,0.00603387,0.0181016,0.00603387,0.0181016,0.00603387
89,9853.1,0.90899,0.59986,1.22609,0.936,0.87433,0.93532,0.69329,0.9608,0.47867,1.18333,0.0178717,0.00595722,0.0178717,0.00595722,0.0178717,0.00595722,0.0178717,0.00595722
90,9962.12,0.90115,0.58663,1.21956,0.92684,0.87678,0.93728,0.69097,0.96358,0.48473,1.17803,0.017641,0.00588035,0.017641,0.00588035,0.017641,0.00588035,0.017641,0.00588035
91,10072,0.90248,0.59455,1.22691,0.91031,0.88705,0.92986,0.68747,0.96346,0.49337,1.17853,0.0174098,0.00580326,0.0174098,0.00580326,0.0174098,0.00580326,0.0174098,0.00580326
92,10181.5,0.89818,0.58603,1.21908,0.905,0.89305,0.93252,0.69134,0.95019,0.48874,1.17345,0.017178,0.00572598,0.017178,0.00572598,0.017178,0.00572598,0.017178,0.00572598
93,10291.9,0.90128,0.59489,1.21981,0.92075,0.89275,0.93532,0.69356,0.9507,0.48553,1.16595,0.0169456,0.00564853,0.0169456,0.00564853,0.0169456,0.00564853,0.0169456,0.00564853
94,10401.5,0.89428,0.583,1.21832,0.91003,0.89029,0.93682,0.69952,0.94507,0.48067,1.17207,0.0167128,0.00557093,0.0167128,0.00557093,0.0167128,0.00557093,0.0167128,0.00557093
95,10511.6,0.90086,0.58687,1.22174,0.90298,0.88499,0.93293,0.68941,0.94964,0.48878,1.17159,0.0164796,0.00549319,0.0164796,0.00549319,0.0164796,0.00549319,0.0164796,0.00549319
96,10622.1,0.90505,0.59341,1.22755,0.90897,0.88951,0.93124,0.6941,0.94396,0.47806,1.17159,0.016246,0.00541533,0.016246,0.00541533,0.016246,0.00541533,0.016246,0.00541533
97,10732.9,0.89233,0.57723,1.21486,0.9122,0.89288,0.93004,0.69345,0.94324,0.47742,1.17164,0.0160121,0.00533738,0.0160121,0.00533738,0.0160121,0.00533738,0.0160121,0.00533738
98,10843.1,0.88781,0.57705,1.21523,0.92454,0.87678,0.92883,0.69534,0.94723,0.48358,1.1738,0.0157781,0.00525935,0.0157781,0.00525935,0.0157781,0.00525935,0.0157781,0.00525935
99,10953.3,0.88632,0.58556,1.21173,0.91371,0.88465,0.92782,0.69118,0.9579,0.47395,1.18397,0.0155438,0.00518127,0.0155438,0.00518127,0.0155438,0.00518127,0.0155438,0.00518127
100,11063.4,0.89253,0.57005,1.21492,0.90151,0.90363,0.93072,0.69372,0.95089,0.47729,1.17602,0.0153094,0.00510314,0.0153094,0.00510314,0.0153094,0.00510314,0.0153094,0.00510314
101,11173.5,0.87197,0.56066,1.20027,0.90773,0.88609,0.93388,0.69286,0.94759,0.46972,1.17568,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025,0.015075,0.005025
102,11284.5,0.88331,0.56933,1.2093,0.90991,0.8966,0.9381,0.69769,0.94626,0.46812,1.16914,0.0148406,0.00494686,0.0148406,0.00494686,0.0148406,0.00494686,0.0148406,0.00494686
103,11394.4,0.88251,0.56607,1.21213,0.89733,0.89715,0.93223,0.69306,0.94326,0.47109,1.17147,0.0146062,0.00486873,0.0146062,0.00486873,0.0146062,0.00486873,0.0146062,0.00486873
104,11504.3,0.8752,0.55714,1.2046,0.894,0.89112,0.92766,0.69029,0.94452,0.47699,1.1726,0.0143719,0.00479065,0.0143719,0.00479065,0.0143719,0.00479065,0.0143719,0.00479065
105,11614.9,0.86787,0.5598,1.19787,0.88975,0.90665,0.93289,0.69549,0.93338,0.47218,1.16328,0.0141379,0.00471262,0.0141379,0.00471262,0.0141379,0.00471262,0.0141379,0.00471262
106,11725,0.86378,0.55709,1.2018,0.89105,0.90143,0.92748,0.6943,0.93908,0.47573,1.16513,0.013904,0.00463467,0.013904,0.00463467,0.013904,0.00463467,0.013904,0.00463467
107,11834.9,0.86891,0.55478,1.20015,0.89996,0.89226,0.92756,0.69289,0.93697,0.47766,1.16393,0.0136704,0.00455681,0.0136704,0.00455681,0.0136704,0.00455681,0.0136704,0.00455681
108,11945.2,0.87423,0.56183,1.20938,0.91268,0.88222,0.93187,0.69805,0.93646,0.47201,1.16953,0.0134372,0.00447907,0.0134372,0.00447907,0.0134372,0.00447907,0.0134372,0.00447907
109,12055.4,0.86177,0.56374,1.19747,0.93637,0.876,0.93418,0.70025,0.93694,0.47432,1.16928,0.0132044,0.00440147,0.0132044,0.00440147,0.0132044,0.00440147,0.0132044,0.00440147
110,12166,0.85978,0.5556,1.19723,0.92206,0.88708,0.94009,0.7025,0.9354,0.46134,1.17124,0.012972,0.00432402,0.012972,0.00432402,0.012972,0.00432402,0.012972,0.00432402
111,12276.6,0.85718,0.5487,1.19693,0.94287,0.88015,0.93734,0.70202,0.93692,0.46464,1.16696,0.0127402,0.00424674,0.0127402,0.00424674,0.0127402,0.00424674,0.0127402,0.00424674
112,12387.7,0.85616,0.53508,1.19155,0.93753,0.8811,0.93735,0.7038,0.92555,0.46257,1.15883,0.012509,0.00416965,0.012509,0.00416965,0.012509,0.00416965,0.012509,0.00416965
113,12497.8,0.85462,0.54022,1.18734,0.9374,0.88273,0.93539,0.70022,0.92596,0.46097,1.15852,0.0122783,0.00409278,0.0122783,0.00409278,0.0122783,0.00409278,0.0122783,0.00409278
114,12608.3,0.85087,0.54636,1.18923,0.91799,0.90276,0.9356,0.69971,0.93351,0.4671,1.16926,0.0120484,0.00401613,0.0120484,0.00401613,0.0120484,0.00401613,0.0120484,0.00401613
115,12718.1,0.8438,0.53355,1.1831,0.93267,0.88701,0.93325,0.69893,0.9368,0.46474,1.17263,0.0118192,0.00393974,0.0118192,0.00393974,0.0118192,0.00393974,0.0118192,0.00393974
116,12828.4,0.84522,0.54512,1.18771,0.91208,0.9058,0.93617,0.70469,0.92624,0.46126,1.16669,0.0115908,0.00386361,0.0115908,0.00386361,0.0115908,0.00386361,0.0115908,0.00386361
117,12939.2,0.84807,0.53811,1.18565,0.93127,0.89329,0.93695,0.7041,0.92306,0.45912,1.16099,0.0113633,0.00378777,0.0113633,0.00378777,0.0113633,0.00378777,0.0113633,0.00378777
118,13049,0.84009,0.54308,1.18599,0.91825,0.90319,0.9387,0.70037,0.92466,0.46087,1.15858,0.0111367,0.00371223,0.0111367,0.00371223,0.0111367,0.00371223,0.0111367,0.00371223
119,13159.2,0.84098,0.5329,1.17887,0.9187,0.89504,0.93696,0.70234,0.91919,0.45963,1.16029,0.0109111,0.00363702,0.0109111,0.00363702,0.0109111,0.00363702,0.0109111,0.00363702
120,13269.8,0.8386,0.53478,1.17966,0.91145,0.89883,0.93737,0.70288,0.91854,0.45958,1.16004,0.0106864,0.00356215,0.0106864,0.00356215,0.0106864,0.00356215,0.0106864,0.00356215
121,13379.8,0.83779,0.53261,1.17542,0.90732,0.90411,0.93568,0.69832,0.92469,0.4593,1.16242,0.0104629,0.00348764,0.0104629,0.00348764,0.0104629,0.00348764,0.0104629,0.00348764
122,13490,0.84158,0.52989,1.17965,0.93078,0.87897,0.93293,0.69885,0.92802,0.46171,1.1621,0.0102405,0.00341351,0.0102405,0.00341351,0.0102405,0.00341351,0.0102405,0.00341351
123,13599.8,0.83218,0.51922,1.18049,0.92155,0.89082,0.93255,0.6987,0.93144,0.45708,1.16349,0.0100193,0.00333978,0.0100193,0.00333978,0.0100193,0.00333978,0.0100193,0.00333978
124,13709,0.82032,0.53787,1.16487,0.92584,0.892,0.93637,0.70131,0.93021,0.45542,1.16207,0.00979939,0.00326646,0.00979939,0.00326646,0.00979939,0.00326646,0.00979939,0.00326646
125,13818.5,0.82396,0.52558,1.17262,0.91769,0.89946,0.93322,0.70018,0.92158,0.4579,1.15887,0.00958074,0.00319358,0.00958074,0.00319358,0.00958074,0.00319358,0.00958074,0.00319358
126,13928.4,0.82598,0.52404,1.16879,0.93242,0.88707,0.93405,0.70192,0.91974,0.45767,1.15476,0.00936345,0.00312115,0.00936345,0.00312115,0.00936345,0.00312115,0.00936345,0.00312115
127,14038.7,0.81873,0.516,1.17044,0.9209,0.89786,0.93161,0.70039,0.92581,0.46425,1.16283,0.00914757,0.00304919,0.00914757,0.00304919,0.00914757,0.00304919,0.00914757,0.00304919
128,14149.5,0.82136,0.51252,1.17081,0.9294,0.89327,0.93483,0.7032,0.92741,0.45847,1.16547,0.00893315,0.00297772,0.00893315,0.00297772,0.00893315,0.00297772,0.00893315,0.00297772
129,14260.1,0.82731,0.52259,1.1701,0.92285,0.90048,0.93704,0.70375,0.92648,0.45449,1.16533,0.00872024,0.00290675,0.00872024,0.00290675,0.00872024,0.00290675,0.00872024,0.00290675
